CERT,NAME,date,later_failure_records,later_assistance_records,classification
94,FIRST STATE BANK OF WARREN,2024-03-31,0,0,Unresolved; no later register match
15907,COMMUNITY FIRST BANK,2024-09-30,0,0,Unresolved; no later register match
16395,SECURITY BANK,2024-06-30,0,0,Unresolved; no later register match
16905,BANK OF ORCHARD,2024-09-30,0,0,Unresolved; no later register match
17126,WILCOX COUNTY STATE BANK,2024-03-31,0,0,Unresolved; no later register match
17208,TSB BANK,2024-09-30,0,0,Unresolved; no later register match
18838,EXCHANGE STATE BANK,2024-09-30,0,0,Unresolved; no later register match
19188,FIRST MINNETONKA CITY BANK,2024-09-30,0,0,Unresolved; no later register match
19749,COMMUNITY STATE BANK,2024-06-30,0,0,Unresolved; no later register match
19774,KAHOKA STATE BANK,2024-09-30,0,0,Unresolved; no later register match
19953,LAKELAND BANK,2024-03-31,0,0,Unresolved; no later register match
20040,MERCHANTS&MANUFACTURERS BANK,2024-03-31,0,0,Unresolved; no later register match
22070,JOHNSON COUNTY BANK,2024-06-30,0,0,Unresolved; no later register match
22551,FIRST TEXAS BANK,2024-09-30,0,0,Unresolved; no later register match
22621,TOWN COUNTRY UNITED BANK,2024-06-30,0,0,Unresolved; no later register match
23222,MISSISSIPPI RIVER BANK,2024-03-31,0,0,Unresolved; no later register match
25122,FIRST NB NORTHWEST FLORIDA,2024-06-30,0,0,Unresolved; no later register match
26219,FIRST NATIONAL BANK,2024-03-31,0,0,Unresolved; no later register match
26590,ABINGTON BANK,2024-06-30,0,0,Unresolved; no later register match
27290,SARATOGA NATIONAL BANK&TRUST,2024-09-30,0,0,Unresolved; no later register match
27330,SILVERGATE BANK,2024-03-31,0,0,Unresolved; no later register match
27572,COMMUNITY WEST BANK NA,2024-03-31,0,0,Unresolved; no later register match
27932,RIVERWOOD BANK,2024-09-30,0,0,Unresolved; no later register match
28151,WEST TOWN BANK&TRUST,2024-09-30,0,0,Unresolved; no later register match
28611,PULASKI SAVINGS BANK,2024-09-30,1,0,Verified later register event; balance remains unknown
29042,HOME FEDERAL SAVINGS BANK,2024-09-30,0,0,Unresolved; no later register match
29049,LAKE CITY FEDERAL BANK,2024-03-31,0,0,Unresolved; no later register match
29986,GUARDIAN SAVINGS BANK,2024-09-30,0,0,Unresolved; no later register match
30439,EAGLE BANK,2024-03-31,0,0,Unresolved; no later register match
30519,FREEHOLD BANK,2024-09-30,0,0,Unresolved; no later register match
30864,MCHENRY SAVINGS BANK,2024-06-30,0,0,Unresolved; no later register match
32838,COMMUNITY FIRST BANK INC,2024-06-30,0,0,Unresolved; no later register match
33832,FIRST CMTY BK OF THE OZARKS,2024-09-30,0,0,Unresolved; no later register match
34102,SUMMIT COMMUNITY BANK INC,2024-03-31,0,0,Unresolved; no later register match
34210,COMMUNITY BANK OF THE BAY,2024-09-30,0,0,Unresolved; no later register match
34351,USAA SAVINGS BANK,2024-03-31,0,0,Unresolved; no later register match
34416,NORTHSIDE COMMUNITY BANK,2024-09-30,0,0,Unresolved; no later register match
34930,ALLIANCE BANK,2024-09-30,0,0,Unresolved; no later register match
35236,CENTURY BANK OF GEORGIA,2024-06-30,0,0,Unresolved; no later register match
35286,CORNERSTONE BANK,2024-06-30,0,0,Unresolved; no later register match
57034,OXFORD UNIVERSITY BANK,2024-06-30,0,0,Unresolved; no later register match
57162,MAIN STREET BANK CORP,2024-03-31,0,0,Unresolved; no later register match
57167,WASHINGTON BUSINESS BANK,2024-09-30,0,0,Unresolved; no later register match
57733,ALLIANCE BANK&TRUST CO,2024-06-30,0,0,Unresolved; no later register match
57799,FIRST SOUND BANK,2024-03-31,0,0,Unresolved; no later register match
57849,PIONEER COMMERCIAL BANK,2024-09-30,0,0,Unresolved; no later register match
58485,1ST CAPITAL BANK,2024-09-30,0,0,Unresolved; no later register match
58583,CALIFORNIA BANK OF COMMERCE,2024-06-30,0,0,Unresolved; no later register match
58743,FRONTIER COMMUNITY BANK,2024-03-31,0,0,Unresolved; no later register match
58772,MOUNTAIN VIEW BK OF COM,2024-09-30,0,0,Unresolved; no later register match
58823,CAPSTAR BANK,2024-03-31,0,0,Unresolved; no later register match
58899,COASTAL BANK&TRUST,2024-03-31,0,0,Unresolved; no later register match
59101,FOURTH CAPITAL BANK,2024-06-30,0,0,Unresolved; no later register match
